tt0299498,Attack on the Gold Escort,1911,52,"Action,Drama"
tt0322325,Frank Gardiner the King of the Road,1911,NaN,NaN
tt0322792,It Is Never Too Late to Mend,1911,NaN,Drama
tt0323237,The Mexican's Gratitude,1911,NaN,NaN
tt0324055,The Squatter's Son,1911,NaN,NaN
tt0324148,A Tale of the Australian Bush,1911,NaN,Drama
tt0324243,Three Strings to Her Bow,1911,NaN,Comedy
tt0329022,The Double Event,1911,NaN,NaN
tt0329583,Sentenced for Life,1911,NaN,NaN
tt0329646,The Sundowner,1911,NaN,Drama
tt0330195,A Dançarina Descalça,1911,NaN,NaN
tt0331447,Caloola or The Adventures of a Jackeroo,1911,NaN,NaN
tt0334938,The Bells,1911,NaN,NaN
tt0335118,The Girl from Outback,1911,NaN,NaN
tt0335296,Moora Neya or The Message of the Spear,1911,NaN,NaN
tt0336238,Dan Morgan,1911,NaN,Drama
tt0336722,The Lady Outlaw,1911,NaN,Drama
tt0336770,The Lost Chord,1911,NaN,Drama
tt0336776,The Luck of Roaring Camp,1911,NaN,Western
tt0336849,The Miner's Daughter,1911,NaN,Drama
tt0336959,Only a Factory Girl,1911,NaN,Drama
tt0229265,Bombardment of Matanzas,1898,NaN,NaN
